,State Name,Average Deaths by OD
0,Alabama,1461.0
1,Alaska,286.3333333333333
2,Arizona,2745.6666666666665
3,Arkansas,578.3333333333334
4,California,11842.0
5,Colorado,1899.6666666666667
6,Connecticut,1456.0
7,Delaware,524.3333333333334
8,District of Columbia,583.6666666666666
9,Florida,7795.333333333333
10,Georgia,2525.6666666666665
11,Hawaii,290.3333333333333
12,Idaho,358.0
13,Illinois,3728.6666666666665
14,Indiana,2549.3333333333335
15,Iowa,463.3333333333333
16,Kansas,692.6666666666666
17,Kentucky,2278.6666666666665
18,Louisiana,2399.6666666666665
19,Maine,639.6666666666666
20,Maryland,2580.0
21,Massachusetts,2527.3333333333335
22,Michigan,2982.0
23,Minnesota,1359.0
24,Mississippi,693.6666666666666
25,Missouri,2140.3333333333335
26,Montana,188.0
27,Nebraska,204.0
28,Nevada,1188.6666666666667
29,New Hampshire,449.0
30,New Jersey,2873.6666666666665
31,New Mexico,1013.6666666666666
32,New York,3326.3333333333335
33,North Carolina,3881.3333333333335
34,North Dakota,134.66666666666666
35,Ohio,5098.0
36,Oklahoma,1125.0
37,Oregon,1473.0
38,Pennsylvania,5134.0
39,Rhode Island,442.6666666666667
40,South Carolina,2203.6666666666665
41,South Dakota,89.66666666666667
42,Tennessee,3805.3333333333335
43,Texas,5365.333333333333
44,United States,107954.0
45,Utah,673.0
46,Vermont,254.33333333333334
47,Virginia,2515.3333333333335
48,Washington,2843.0
49,West Virginia,1404.3333333333333
50,Wisconsin,1761.0
51,Wyoming,117.0
